function, start time, duration, instructions count, DTCM LD, DTCM ST, Vec LD count, Vec ST count, Sc LD count, Sc ST count, I Fetch Count, IO Read, IO Write
th_cfft_f32, 165171.000000, 2281.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_mult_f32, 167736.000000, 104.000000, 72, 0, 0, 0, 0, 33, 17, 70, 0, 0
th_multiply_f32, 167735.000000, 105.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_add_f32, 167848.000000, 104.000000, 72, 0, 0, 0, 0, 33, 17, 70, 0, 0
th_add_f32, 167847.000000, 105.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_float_to_q15, 167958.000000, 97.000000, 81, 0, 0, 0, 0, 17, 9, 80, 0, 0
th_f32_to_int16, 167957.000000, 98.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_mult_f32, 168064.000000, 104.000000, 72, 0, 0, 0, 0, 33, 17, 70, 0, 0
th_multiply_f32, 168063.000000, 105.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_q15_to_float, 168316.000000, 71.000000, 55, 0, 0, 0, 0, 17, 17, 53, 0, 0
th_int16_to_f32, 168315.000000, 72.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_cfft_f32, 168731.000000, 2189.000000, 1901, 0, 0, 0, 0, 562, 347, 1815, 0, 0
th_cfft_f32, 168730.000000, 2190.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_q15_to_float, 171063.000000, 71.000000, 55, 0, 0, 0, 0, 17, 17, 53, 0, 0
th_int16_to_f32, 171062.000000, 72.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_cfft_f32, 171477.000000, 2189.000000, 1901, 0, 0, 0, 0, 562, 347, 1815, 0, 0
th_cfft_f32, 171476.000000, 2190.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_cmplx_conj_f32, 173672.000000, 170.000000, 105, 0, 0, 0, 0, 34, 33, 103, 0, 0
th_cmplx_conj_f32, 173671.000000, 171.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_cmplx_mult_cmplx_f32, 173850.000000, 241.000000, 191, 0, 0, 0, 0, 66, 34, 189, 0, 0
th_cmplx_mult_cmplx_f32, 173849.000000, 242.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_cmplx_mag_f32, 174098.000000, 421.000000, 387, 0, 0, 0, 0, 50, 19, 385, 0, 0
th_cmplx_mag_f32, 174097.000000, 422.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_cmplx_mult_cmplx_f32, 175276.000000, 241.000000, 191, 0, 0, 0, 0, 66, 34, 189, 0, 0
th_cmplx_mult_cmplx_f32, 175275.000000, 242.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_cmplx_mult_cmplx_f32, 175656.000000, 240.000000, 190, 0, 0, 0, 0, 66, 34, 188, 0, 0
th_cmplx_mult_cmplx_f32, 175655.000000, 241.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_cmplx_mult_cmplx_f32, 176035.000000, 240.000000, 190, 0, 0, 0, 0, 66, 34, 188, 0, 0
th_cmplx_mult_cmplx_f32, 176034.000000, 241.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_cmplx_mult_cmplx_f32, 176414.000000, 240.000000, 190, 0, 0, 0, 0, 66, 34, 188, 0, 0
th_cmplx_mult_cmplx_f32, 176413.000000, 241.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_cmplx_mult_cmplx_f32, 176793.000000, 240.000000, 190, 0, 0, 0, 0, 66, 34, 188, 0, 0
th_cmplx_mult_cmplx_f32, 176792.000000, 241.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_cmplx_mult_cmplx_f32, 177172.000000, 240.000000, 190, 0, 0, 0, 0, 66, 34, 188, 0, 0
th_cmplx_mult_cmplx_f32, 177171.000000, 241.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_cmplx_mult_cmplx_f32, 177551.000000, 240.000000, 190, 0, 0, 0, 0, 66, 34, 188, 0, 0
th_cmplx_mult_cmplx_f32, 177550.000000, 241.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_cmplx_mult_cmplx_f32, 177930.000000, 240.000000, 190, 0, 0, 0, 0, 66, 34, 188, 0, 0
th_cmplx_mult_cmplx_f32, 177929.000000, 241.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_cmplx_mult_cmplx_f32, 178309.000000, 240.000000, 190, 0, 0, 0, 0, 66, 34, 188, 0, 0
th_cmplx_mult_cmplx_f32, 178308.000000, 241.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_cmplx_mult_cmplx_f32, 178688.000000, 240.000000, 190, 0, 0, 0, 0, 66, 34, 188, 0, 0
th_cmplx_mult_cmplx_f32, 178687.000000, 241.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_cmplx_mult_cmplx_f32, 179067.000000, 240.000000, 190, 0, 0, 0, 0, 66, 34, 188, 0, 0
th_cmplx_mult_cmplx_f32, 179066.000000, 241.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_cmplx_mult_cmplx_f32, 179446.000000, 240.000000, 190, 0, 0, 0, 0, 66, 34, 188, 0, 0
th_cmplx_mult_cmplx_f32, 179445.000000, 241.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_cmplx_mult_cmplx_f32, 179825.000000, 240.000000, 190, 0, 0, 0, 0, 66, 34, 188, 0, 0
th_cmplx_mult_cmplx_f32, 179824.000000, 241.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_cmplx_mult_cmplx_f32, 180204.000000, 240.000000, 190, 0, 0, 0, 0, 66, 34, 188, 0, 0
th_cmplx_mult_cmplx_f32, 180203.000000, 241.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_cmplx_mult_cmplx_f32, 180583.000000, 240.000000, 190, 0, 0, 0, 0, 66, 34, 188, 0, 0
th_cmplx_mult_cmplx_f32, 180582.000000, 241.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_cmplx_mult_cmplx_f32, 180962.000000, 240.000000, 190, 0, 0, 0, 0, 66, 34, 188, 0, 0
th_cmplx_mult_cmplx_f32, 180961.000000, 241.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_absmax_f32, 181343.000000, 53.000000, 47, 0, 0, 0, 0, 6, 3, 45, 0, 0
th_absmax_f32, 181342.000000, 54.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_cmplx_mult_cmplx_f32, 181404.000000, 465.000000, 367, 0, 0, 0, 0, 130, 66, 365, 0, 0
th_cmplx_mult_cmplx_f32, 181403.000000, 466.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_add_f32, 181878.000000, 392.000000, 264, 0, 0, 0, 0, 129, 65, 262, 0, 0
th_add_f32, 181877.000000, 393.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_sub_f32, 182277.000000, 456.000000, 264, 0, 0, 0, 0, 129, 65, 262, 0, 0
th_subtract_f32, 182276.000000, 457.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_cmplx_conj_f32, 183693.000000, 25.000000, 18, 0, 0, 0, 0, 5, 4, 16, 0, 0
th_cmplx_conj_f32, 183692.000000, 26.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_cmplx_dot_prod_f32, 183730.000000, 33.000000, 26, 0, 0, 0, 0, 8, 3, 24, 0, 0
th_cmplx_dot_prod_f32, 183727.000000, 36.000000, 3, 0, 0, 0, 0, 1, 1, 3, 0, 0
arm_cmplx_conj_f32, 183817.000000, 25.000000, 18, 0, 0, 0, 0, 5, 4, 16, 0, 0
th_cmplx_conj_f32, 183816.000000, 26.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_cmplx_dot_prod_f32, 183854.000000, 33.000000, 26, 0, 0, 0, 0, 8, 3, 24, 0, 0
th_cmplx_dot_prod_f32, 183851.000000, 36.000000, 3, 0, 0, 0, 0, 1, 1, 3, 0, 0
arm_cmplx_conj_f32, 183941.000000, 25.000000, 18, 0, 0, 0, 0, 5, 4, 16, 0, 0
th_cmplx_conj_f32, 183940.000000, 26.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_cmplx_dot_prod_f32, 183978.000000, 33.000000, 26, 0, 0, 0, 0, 8, 3, 24, 0, 0
th_cmplx_dot_prod_f32, 183975.000000, 36.000000, 3, 0, 0, 0, 0, 1, 1, 3, 0, 0
arm_cmplx_conj_f32, 184065.000000, 25.000000, 18, 0, 0, 0, 0, 5, 4, 16, 0, 0
th_cmplx_conj_f32, 184064.000000, 26.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_cmplx_dot_prod_f32, 184102.000000, 33.000000, 26, 0, 0, 0, 0, 8, 3, 24, 0, 0
th_cmplx_dot_prod_f32, 184099.000000, 36.000000, 3, 0, 0, 0, 0, 1, 1, 3, 0, 0
